logo_img,company_name,vessel_name,origin,destination,dep_time,arr_time,duration,trans,of20,of40
https://www.tradlinx.com/images/carrier/shipping_com_HAS.gif,HEUNG-A,DONGJIN VENUS 0226S,Busan,Tokyo,2024.04.30 (Tue),2024.05.03 (Fri),3 days,Direct,$500.00,"$1,000.00"
https://www.tradlinx.com/images/carrier/shipping_com_DJS.gif,DongJin,DONGJIN VENUS 0226S,Busan,Tokyo,2024.04.30 (Tue),2024.05.03 (Fri),3 days,Direct,$335.00,$670.00
https://www.tradlinx.com/images/carrier/shipping_com_PCS.gif,DongYoung,DONGJIN VENUS JDJV0226S,Busan,Tokyo,2024.04.30 (Tue),2024.05.03 (Fri),3 days,Direct,$255.00,$510.00
https://www.tradlinx.com/images/carrier/shipping_com_KMD.gif,KMTC,SUNNY FREESIA 2409E,Busan,Tokyo,2024.04.30 (Tue),2024.05.02 (Thu),2 days,Direct,$335.00,$670.00
https://www.tradlinx.com/images/carrier/shipping_com_KMD.gif,KMTC,BAL STAR 2412E,Busan,Tokyo,2024.04.30 (Tue),2024.05.03 (Fri),3 days,Direct,$335.00,$670.00
https://www.tradlinx.com/images/carrier/shipping_com_CKL.gif,CK Line,SUNNY FREESIA 2409E,Busan,Tokyo,2024.04.30 (Tue),2024.05.02 (Thu),2 days,Direct,$336.00,$671.00
https://www.tradlinx.com/images/carrier/shipping_com_PCL.gif,Pancon,SUNNY FREESIA 2409E,Busan,Tokyo,2024.04.30 (Tue),2024.05.02 (Thu),2 days,Direct,$285.00,$570.00
https://www.tradlinx.com/images/carrier/shipping_com_KMD.gif,KMTC,PANCON SUCCESS 2418E,Busan,Tokyo,2024.05.01 (Wed),2024.05.03 (Fri),2 days,Direct,$335.00,$670.00
https://www.tradlinx.com/images/carrier/shipping_com_SKR.gif,Sinokor,STAR SKIPPER 2418E,Busan,Tokyo,2024.05.01 (Wed),2024.05.03 (Fri),2 days,Direct,$255.00,$510.00
https://www.tradlinx.com/images/carrier/shipping_com_CKL.gif,CK Line,PANCON SUCCESS 2418E,Busan,Tokyo,2024.05.01 (Wed),2024.05.03 (Fri),2 days,Direct,$336.00,$671.00
https://www.tradlinx.com/images/carrier/shipping_com_CKL.gif,CK Line,BAL STAR 2412E,Busan,Tokyo,2024.05.01 (Wed),2024.05.03 (Fri),2 days,Direct,$336.00,$671.00
https://www.tradlinx.com/images/carrier/shipping_com_PCL.gif,Pancon,PANCON SUCCESS 2418E,Busan,Tokyo,2024.05.01 (Wed),2024.05.03 (Fri),2 days,Direct,$285.00,$570.00
https://www.tradlinx.com/images/carrier/shipping_com_PCL.gif,Pancon,BAL STAR 2412E,Busan,Tokyo,2024.05.01 (Wed),2024.05.03 (Fri),2 days,Direct,$285.00,$570.00
https://www.tradlinx.com/images/carrier/shipping_com_PAN.gif,Pan Ocean,STAR SKIPPER 2418E,Busan,Tokyo,2024.05.02 (Thu),2024.05.03 (Fri),1 days,Direct,$285.00,$570.00
https://www.tradlinx.com/images/carrier/shipping_com_HAS.gif,HEUNG-A,TOYAMA TRADER 2413E,Busan,Tokyo,2024.05.04 (Sat),2024.05.06 (Mon),2 days,Direct,$500.00,"$1,000.00"
https://www.tradlinx.com/images/carrier/shipping_com_HAS.gif,HEUNG-A,HEUNG-A YOUNG 0353S,Busan,Tokyo,2024.05.04 (Sat),2024.05.06 (Mon),2 days,Direct,$500.00,"$1,000.00"
https://www.tradlinx.com/images/carrier/shipping_com_DJS.gif,DongJin,HEUNG-A YOUNG 0353S,Busan,Tokyo,2024.05.04 (Sat),2024.05.06 (Mon),2 days,Direct,$335.00,$670.00
https://www.tradlinx.com/images/carrier/shipping_com_PCS.gif,DongYoung,HEUNG-A YOUNG JHAY0353S,Busan,Tokyo,2024.05.04 (Sat),2024.05.06 (Mon),2 days,Direct,$255.00,$510.00
https://www.tradlinx.com/images/carrier/shipping_com_SKR.gif,Sinokor,TOYAMA TRADER 2413E,Busan,Tokyo,2024.05.04 (Sat),2024.05.06 (Mon),2 days,Direct,$255.00,$510.00
https://www.tradlinx.com/images/carrier/shipping_com_SKR.gif,Sinokor,HEUNG-A YOUNG 0353S,Busan,Tokyo,2024.05.04 (Sat),2024.05.06 (Mon),2 days,Direct,$255.00,$510.00
