logo_img,company_name,vessel_name,origin,destination,dep_time,arr_time,duration,trans,of20,of40
https://www.tradlinx.com/images/carrier/shipping_com_COA.gif,COSCO,SEAMAX STRATFORD 129W,Busan,Singapore,2024.04.19 (Fri),2024.04.29 (Mon),10 days,Direct,$55.00,$110.00
https://www.tradlinx.com/images/carrier/shipping_com_COA.gif,COSCO,WAN HAI 503 W211,Busan,Singapore,2024.04.19 (Fri),2024.04.29 (Mon),10 days,Direct,$55.00,$110.00
https://www.tradlinx.com/images/carrier/shipping_com_COA.gif,COSCO,CMA CGM AMBER 0BYGVS1NC,Busan,Singapore,2024.04.19 (Fri),2024.05.10 (Fri),21 days,Direct,$55.00,$110.00
https://www.tradlinx.com/images/carrier/shipping_com_HMM.gif,HMM,AL NEFUD 0025W,Busan,Singapore,2024.04.19 (Fri),2024.05.04 (Sat),15 days,Direct,$140.00,$280.00
https://www.tradlinx.com/images/carrier/shipping_com_NSS.gif,NamSung,LOS ANDES BRIDGE JLAB0205S,Busan,Singapore,2024.04.20 (Sat),2024.05.05 (Sun),15 days,Direct,$350.00,$700.00
https://www.tradlinx.com/images/carrier/shipping_com_ONE.gif,ONE,LOS ANDES BRIDGE 205S,Busan,Singapore,2024.04.20 (Sat),2024.04.30 (Tue),10 days,Direct,$107.00,$214.00
https://www.tradlinx.com/images/carrier/shipping_com_HMM.gif,HMM,LOS ANDES BRIDGE 0205S,Busan,Singapore,2024.04.20 (Sat),2024.04.30 (Tue),10 days,Direct,$140.00,$280.00
https://www.tradlinx.com/images/carrier/shipping_com_SIT.gif,SITC,AS PATRIA 2404S,Busan,Singapore,2024.04.21 (Sun),2024.05.01 (Wed),10 days,Direct,,
https://www.tradlinx.com/images/carrier/shipping_com_TSL.gif,TS Line,LOS ANDES BRIDGE 205S,Busan,Singapore,2024.04.21 (Sun),2024.04.30 (Tue),9 days,Direct,"$1,050.00",$700.00
https://www.tradlinx.com/images/carrier/shipping_com_EMC.gif,Evergreen,CMA CGM KIMBERLEY MEX10MEHTW1MA,Busan,Singapore,2024.04.21 (Sun),2024.05.05 (Sun),14 days,Direct,$184.00,$284.00
https://www.tradlinx.com/images/carrier/shipping_com_HAS.gif,HEUNG-A,KMTC QINGDAO 2404S,Busan,Singapore,2024.04.22 (Mon),2024.04.30 (Tue),8 days,Direct,"$1,500.00","$2,200.00"
https://www.tradlinx.com/images/carrier/shipping_com_MSC.gif,MSC,MSC LA SPEZIA FY415A,Busan,Singapore,2024.04.22 (Mon),2024.05.05 (Sun),13 days,Direct,$250.00,$400.00
https://www.tradlinx.com/images/carrier/shipping_com_ONE.gif,ONE,HMM GAON 013W,Busan,Singapore,2024.04.22 (Mon),2024.05.03 (Fri),11 days,Direct,$107.00,$214.00
https://www.tradlinx.com/images/carrier/shipping_com_EMC.gif,Evergreen,CMA CGM VOLGA BEX20BEHVW1MA,Busan,Singapore,2024.04.22 (Mon),2024.04.29 (Mon),7 days,Direct,$184.00,$284.00
https://www.tradlinx.com/images/carrier/shipping_com_HMM.gif,HMM,HYUNDAI FORCE 0104W,Busan,Singapore,2024.04.22 (Mon),2024.05.03 (Fri),11 days,Direct,$140.00,$280.00
https://www.tradlinx.com/images/carrier/shipping_com_KMD.gif,KMTC,KMTC CHENNAI 2404S,Busan,Singapore,2024.04.23 (Tue),2024.05.03 (Fri),10 days,Direct,$410.00,$720.00
https://www.tradlinx.com/images/carrier/shipping_com_SKR.gif,Sinokor,KMTC CHENNAI 2404S,Busan,Singapore,2024.04.23 (Tue),2024.05.02 (Thu),9 days,Direct,$310.00,$620.00
https://www.tradlinx.com/images/carrier/shipping_com_HAS.gif,HEUNG-A,KMTC CHENNAI 2404S,Busan,Singapore,2024.04.23 (Tue),2024.05.02 (Thu),9 days,Direct,"$1,500.00","$2,200.00"
https://www.tradlinx.com/images/carrier/shipping_com_COA.gif,COSCO,XIN DA YANG ZHOU 093W,Busan,Singapore,2024.04.23 (Tue),2024.05.05 (Sun),12 days,Direct,$55.00,$110.00
https://www.tradlinx.com/images/carrier/shipping_com_MSC.gif,MSC,MSC DURBAN IV HI416A,Busan,Singapore,2024.04.23 (Tue),2024.04.30 (Tue),7 days,Direct,$250.00,$400.00
