logo_img,company_name,vessel_name,origin,destination,dep_time,arr_time,duration,trans,of20,of40
https://www.tradlinx.com/images/carrier/shipping_com_KMD.gif,KMTC,SITC YUNCHENG 2405S,Incheon,Hong Kong,2024.04.19 (Fri),2024.04.27 (Sat),8 days,Direct,"$1,001.00",$202.00
https://www.tradlinx.com/images/carrier/shipping_com_CKL.gif,CK Line,SKY HOPE 2408S,Incheon,Hong Kong,2024.04.19 (Fri),2024.04.25 (Thu),6 days,Direct,$260.00,$520.00
https://www.tradlinx.com/images/carrier/shipping_com_NSS.gif,NamSung,STAR FRONTIER NSFR2407S,Incheon,Hong Kong,2024.04.19 (Fri),2024.04.22 (Mon),3 days,Direct,$120.00,$240.00
https://www.tradlinx.com/images/carrier/shipping_com_NSS.gif,NamSung,KMTC NAGOYA JKNG2406S,Incheon,Hong Kong,2024.04.19 (Fri),2024.04.24 (Wed),5 days,Direct,$120.00,$240.00
https://www.tradlinx.com/images/carrier/shipping_com_TSL.gif,TS Line,SITC YUNCHENG 2405S,Incheon,Hong Kong,2024.04.19 (Fri),2024.04.26 (Fri),7 days,Direct,$66.00,$132.00
https://www.tradlinx.com/images/carrier/shipping_com_TSL.gif,TS Line,SITC YUNCHENG 2405S,Incheon,Hong Kong,2024.04.19 (Fri),2024.05.04 (Sat),15 days,Direct,$66.00,$132.00
https://www.tradlinx.com/images/carrier/shipping_com_SKR.gif,Sinokor,HEUNG-A AKITA 2407S,Incheon,Hong Kong,2024.04.20 (Sat),2024.04.23 (Tue),3 days,Direct,$111.00,$222.00
https://www.tradlinx.com/images/carrier/shipping_com_HAS.gif,HEUNG-A,HEUNG-A AKITA 2407S,Incheon,Hong Kong,2024.04.20 (Sat),2024.04.23 (Tue),3 days,Direct,$400.00,$700.00
https://www.tradlinx.com/images/carrier/shipping_com_COA.gif,COSCO,XIN CHI WAN 071N,Incheon,Hong Kong,2024.04.20 (Sat),2024.04.28 (Sun),8 days,Direct,,
https://www.tradlinx.com/images/carrier/shipping_com_HMM.gif,HMM,HEUNG-A AKITA 2407S,Incheon,Hong Kong,2024.04.20 (Sat),2024.04.23 (Tue),3 days,Direct,$46.00,$92.00
https://www.tradlinx.com/images/carrier/shipping_com_KMD.gif,KMTC,SKY VICTORIA 2412S,Incheon,Hong Kong,2024.04.21 (Sun),2024.04.26 (Fri),5 days,Direct,"$1,001.00",$202.00
https://www.tradlinx.com/images/carrier/shipping_com_SIT.gif,SITC,TS TACOMA 24004S,Incheon,Hong Kong,2024.04.21 (Sun),2024.04.24 (Wed),3 days,Direct,$10.00,$20.00
https://www.tradlinx.com/images/carrier/shipping_com_NSS.gif,NamSung,SKY VICTORIA JSVR2412S,Incheon,Hong Kong,2024.04.21 (Sun),2024.04.26 (Fri),5 days,Direct,$120.00,$240.00
https://www.tradlinx.com/images/carrier/shipping_com_EMC.gif,Evergreen,EVER OPTIMA NCS 0177-023S,Incheon,Hong Kong,2024.04.21 (Sun),2024.04.27 (Sat),6 days,Direct,$511.00,"$1,023.00"
https://www.tradlinx.com/images/carrier/shipping_com_TSL.gif,TS Line,TS TACOMA 24004S,Incheon,Hong Kong,2024.04.22 (Mon),2024.04.29 (Mon),7 days,Direct,$66.00,$132.00
https://www.tradlinx.com/images/carrier/shipping_com_KMD.gif,KMTC,TS TACOMA 24004S,Incheon,Hong Kong,2024.04.23 (Tue),2024.05.01 (Wed),8 days,Direct,"$1,001.00",$202.00
https://www.tradlinx.com/images/carrier/shipping_com_COA.gif,COSCO,OOCL AMERICA 167N,Incheon,Hong Kong,2024.04.24 (Wed),2024.05.04 (Sat),10 days,Direct,,
https://www.tradlinx.com/images/carrier/shipping_com_SIT.gif,SITC,SITC KANTO 2410S,Incheon,Hong Kong,2024.04.24 (Wed),2024.05.01 (Wed),7 days,Direct,$10.00,$20.00
https://www.tradlinx.com/images/carrier/shipping_com_CKL.gif,CK Line,SKY IRIS 2407S,Incheon,Hong Kong,2024.04.25 (Thu),2024.05.01 (Wed),6 days,Direct,$260.00,$520.00
https://www.tradlinx.com/images/carrier/shipping_com_TSL.gif,TS Line,YM CREDIBILITY 119S,Incheon,Hong Kong,2024.04.25 (Thu),2024.05.02 (Thu),7 days,Direct,$66.00,$132.00
